time,open,high,low,close,SMA20,SMA50,SMA100,SMA2000,Regression Line,BUY,SELL,Bar Index,EMA 20,EMA 50,EMA 100,EMA 200,Basis,Upper,Lower,24H Volume,ADR,Bollinger Bands Width,EMA,%EX,hashColor,FEAR AND GREED,US Interest Rates,EU Interest Rates,UK Interest Rates,Histogram,MACD,Signal,RSI,RSI-based MA,STOCHASTIC OSCILLATOR,STOCHASTIC OSCILLATOR 2
1317686400,4.89716404889477,5.3,4.8,4.985,5.3865,NaN,NaN,NaN,NaN,NaN,NaN,32,6.06497718000053,NaN,NaN,NaN,5.3865,6.71705665042871,4.05594334957129,NaN,0.435591519899735,0.49403384402811,19.5488651135893,22.4276300089234,24.806126056354,0.0656244939960935,0.25,1.5,0.5,NaN,-1.27175028124024,NaN,31.6569797400357,30.1796913227591,14.6825396825397,6.74603174603174
1317772800,4.94108202444739,6.25,4.8,5.2225,5.263125,NaN,NaN,NaN,NaN,NaN,NaN,33,5.98474125809571,NaN,NaN,NaN,5.263125,6.07161259266921,4.45463740733079,NaN,0.520742338043308,0.307227205384334,14.661648835192,0,24.7800339862904,0.108184914384383,0.25,1.5,0.5,0.245004454290628,-1.18595899017228,-1.43096344446291,35.1338432313327,30.9879144492982,29.1379310344828,16.0618500273673
1317859200,5.08179101222369,5.08179101222369,4.8,4.8675,5.21375,NaN,NaN,NaN,NaN,NaN,NaN,34,5.87833732875327,NaN,NaN,NaN,5.21375,5.99165825294508,4.43584174705492,NaN,0.535588533702502,0.298406426447404,19.3493295260461,33.4123715986085,27.2884933840335,0.245222677790807,0.25,1.5,0.5,0.237932773698889,-1.1335474773393,-1.37148025103819,32.4744378873236,31.5918101524867,4.65517241379316,16.1585477102719
1317945600,4.97464550611185,4.97464550611185,4.59,4.7025,5.1695,NaN,NaN,NaN,NaN,NaN,NaN,35,5.76635282125295,NaN,NaN,NaN,5.1695,5.95794562272871,4.38105437727129,NaN,0.510206069853347,0.305037478568029,26.2848462940016,47.0913965978681,24.1236388884418,0.254813390040501,0.25,1.5,0.5,0.223001161268917,-1.09272879945204,-1.31572996072096,31.2889683553213,31.825872319486,6.77710843373493,13.5234039606703
1318032000,4.83857275305592,4.83857275305592,3.99,4.28,5.127375,NaN,NaN,NaN,NaN,NaN,NaN,36,5.62479540970505,NaN,NaN,NaN,5.127375,6.00620870867309,4.24854129132691,NaN,0.522495985660824,0.342800637235658,19.7136347205012,0,22.0720772121794,0.191036581447301,0.25,1.5,0.5,0.186984522443746,-1.08199930766628,-1.26898383011002,28.4273447897849,31.5651680099756,12.8318584070796,8.08804641820258
1318118400,4.55928637652796,4.55928637652796,3.89,3.89,5.080125,NaN,NaN,NaN,NaN,NaN,NaN,37,5.45957679925695,NaN,NaN,NaN,5.080125,6.10605929979708,4.05419070020292,NaN,0.548015943564562,0.403901203138537,20.419626370275,22.5376013195965,21.6797426336016,0.100003784779963,0.25,1.5,0.5,0.141288147805141,-1.0923736453536,-1.23366179315874,26.0582167700392,31.1360844244487,0,6.53632228027152
1318204800,4.22464318826398,4.51,3.99,4.25,5.049125,NaN,NaN,NaN,NaN,NaN,NaN,38,5.34437900885153,NaN,NaN,NaN,5.049125,6.13433842946911,3.96391157053089,NaN,0.573301409069005,0.429861977855217,24.7867084134162,37.8879545428397,21.2657321975068,0.0225815765237979,0.25,1.5,0.5,0.139461405349301,-1.05933503647211,-1.19879644182141,31.7153679259131,31.1033940227159,15.2542372881356,9.36203189840508
1318291200,4.23732159413199,4.23732159413199,3.98,4.04,5.007125,NaN,NaN,NaN,NaN,NaN,NaN,39,5.22015243657996,NaN,NaN,NaN,5.007125,6.17698746520694,3.83726253479306,NaN,0.582538541402081,0.467279113346258,18.5900313100621,0,17.9095324109446,0.0564846405211228,0.25,1.5,0.5,0.128533130178693,-1.03813002909805,-1.16666315927674,30.2609414379027,30.968775118341,6.35593220338983,7.20338983050847
1318377600,4.138660797066,4.138660797066,3.93,3.95,4.959625,NaN,NaN,NaN,NaN,NaN,NaN,40,5.09918553785805,NaN,NaN,NaN,4.959625,6.21690805782751,3.70234194217248,NaN,0.570192821854334,0.50700730713613,23.9953027694645,40.2111171476716,29.8266152071099,0.0586409306853568,0.25,1.5,0.5,0.119838235525884,-1.01686536486938,-1.13670360039527,29.6337267903723,30.5006184127778,2.54237288135593,8.05084745762712
1318464000,4.044330398533,4.044330398533,3.93,3.95,4.892625,NaN,NaN,NaN,NaN,NaN,NaN,41,4.98973929615729,NaN,NaN,NaN,4.892625,6.21355031488349,3.57169968511651,NaN,0.488359278892406,0.539965893516665,21.893535034201,15.5882318284105,30.959345142956,0.0210272630830519,0.25,1.5,0.5,0.118469435423236,-0.988616806116222,-1.10708624153946,29.6337267903723,30.2996733381881,2.54237288135593,3.8135593220339
1318550400,3.9971651992665,4.05,3.9971651992665,4.05,4.81,NaN,NaN,NaN,NaN,NaN,NaN,42,4.90024031557088,NaN,NaN,NaN,4.81,6.12467106152072,3.49532893847928,NaN,0.435374280207915,0.546640774021088,16.4201512756508,0,28.7115035704268,-0.00165770942415713,0.25,1.5,0.5,0.127875994792342,-0.947241248049031,-1.07511724284137,31.4642604445119,30.4360699968531,6.77966101694914,3.954802259887
