time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1552003200,-0.344508000000001,-0.41043562808709,0.359222041729011,-0.881436661729011,685018.566322657,465561.4667933,515366.048121915,352837.570669443,565607.465867395,142.785362801224,1071184.31033771,152467799.587679,2.59955426247458E+022,4.3098875976754E+019,1498550.00199486,5795116321.5479
1552089600,-0.113350800000003,-0.37015969570762,0.35789870213865,-0.82184606213865,669901.008809446,451597.563739973,505035.49391793,347403.648729544,565749.381164232,141.915296837365,1036864.16563862,146887189.662647,2.59963530566102E+022,4.28990803446169E+019,1374807.48576834,5327562733.74396
1552176000,-0.362161799999998,-0.412603932851688,0.352905842286534,-0.832026482286534,642989.007207729,431187.279423614,484585.585932852,333009.7125969,565890.220952553,140.83978832148,990793.108784543,139553587.178529,2.59970161372265E+022,4.2553793009232E+019,1245063.94186142,4833033216.24843
1552262400,-0.457458599999998,-0.476208854151381,0.346243691021426,-0.852451031021426,662566.460442687,442969.955892048,497353.661217788,342663.037579282,566031.271688453,141.050735899393,1010571.51154075,142569217.509706,2.59975586577308E+022,4.2634921553008E+019,1223942.31214471,4759341570.84255
1552348800,-0.434430600000002,-0.521271062487494,0.124053369032369,-0.739830249032369,669194.376725835,446414.145729858,503758.086450917,346745.212564867,566172.676836007,141.405147554049,1009405.98814554,142755731.053395,2.59980025381434E+022,4.27012994524611E+019,1271450.76715741,4947831151.38041
1552435200,-0.160504800000003,-0.475132323853405,0.129101010029099,-0.701308170029098,677781.762775683,455437.755597156,505979.525278023,349049.719371255,566312.917411278,140.240575271494,1037437.75326386,145360760.680051,2.59983657130264E+022,4.23919722792864E+019,1247890.27511117,4859750937.35454
1552521600,-0.229099799999999,-0.458168810425513,0.107827419442217,-0.697403499442216,689358.351361923,465754.1636704,514174.157045655,354688.679485572,566455.841518319,142.924107040314,1038599.3652804,148348463.465496,2.59986628561125E+022,4.30479773194161E+019,1278546.31765611,4984880963.35544
1552608000,-0.135355199999998,-0.415882117620874,0.096801586065414,-0.630556786065413,694775.923841573,468567.406639419,522275.401219173,357728.919579104,566600.597605897,144.756087578438,1029324.64645937,148848929.562679,2.5998905973183E+022,4.35847087158859E+019,1294538.26971036,5058077983.01964
1552694400,-0.689000399999997,-0.54905518714435,0.122361737349491,-0.69206623734949,679890.664961287,456804.969068615,512460.964633869,351251.661473813,566748.670768461,148.073162564177,985567.410125987,145158497.82401,2.59991048871497E+022,4.45693071311794E+019,1213616.12108337,4762080332.12648
1552780800,0.0548681999999934,-0.432600244027198,0.148931915763706,-0.649481375763705,654251.998604689,435909.520147049,494396.789245892,338423.723024029,566896.366992378,147.696223916145,941427.554735708,138483959.67419,2.59992676349407E+022,4.44657967436922E+019,1118340.87910424,4401354035.43199
1552867200,-0.1429692,-0.397269654204071,0.148526053880653,-0.649462813880652,665648.362494746,443138.880120313,501544.827564821,341989.773383296,567046.482084673,150.115092295027,938793.950769081,140439199.733428,2.59994007922242E+022,4.52901973357482E+019,1238381.66705074,4904621006.98492
1552953600,0.0881778000000066,-0.298318262530601,0.19310621448125,-0.656475474481249,681068.660222974,454925.629189347,510604.313462126,349035.814586333,567200.939887459,154.457802786841,933521.405906155,143687403.781896,2.59995097390925E+022,4.65101614565212E+019,1279383.91018411,5091301395.11745
1553040000,-0.0964758000000021,-0.27331366934322,0.203141127260922,-0.654557007260921,691485.26745516,464534.787518556,515720.98374174,353524.393752454,567356.587180649,155.647293189233,944154.308954274,146601036.185187,2.59995988774393E+022,4.67810411916992E+019,1285555.25622587,5133446342.50876
1553126400,-0.222280199999998,-0.290977911280816,0.197394281924264,-0.656863541924263,694526.491554222,466795.371606092,519355.350334151,356674.503979281,567509.934965985,153.347785336645,961516.499443199,146977107.606062,2.5999671808814E+022,4.60935791568448E+019,1318810.11883102,5284089548.59294
