time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1299162600,2350.52002,2375.66992,2350.17993,2371.76001,2341.61798183399,2302.21647979137,2224.3586433403,2105.93649984959,2354.1105105,2307.7271972,2226.6536036,2047.7614453
1299249000,2370.34009,2371.22998,2344.62012,2359.95996,2343.36483689742,2304.48092999563,2227.04381792762,2108.464096468,2355.955005,2310.234995,2229.9834034,2050.1941455
1299508200,2367.91992,2373.62012,2307.38989,2328.07007,2341.908192431,2305.40599430953,2229.04433777064,2110.649230533,2355.448511,2312.0781982,2232.8486036,2052.8338965
1299594600,2325.12988,2347.51001,2310.95996,2337.55005,2341.49313124709,2306.66654551307,2231.19296573557,2112.90695012969,2354.866016,2314.2237988,2235.6516041,2055.40779785
1299681000,2328.80005,2330.67993,2309.28003,2322.68994,2339.70235112832,2307.29491392433,2233.00478700814,2114.99434306372,2352.8200075,2316.0803954,2238.3334034,2057.9448486
1299767400,2295.09009,2300.53003,2276.12012,2284.29004,2334.42498816372,2306.39276200573,2234.02033657233,2116.67887736159,2348.987012,2317.2177978,2240.199004,2060.28789915
1299853800,2275.29004,2305.96997,2272.8999,2299.26001,2331.07594262432,2306.11304624079,2235.31221129367,2118.49560504954,2345.7325075,2318.5702002,2242.1501051,2062.80184935
1300109400,2286.77002,2302.91992,2274.08008,2290.71997,2327.2325166601,2305.50939619214,2236.40939463439,2120.20928032268,2341.311011,2319.8702002,2244.360005,2064.9418994
1300195800,2218.30005,2271.58008,2217.42993,2259.62012,2320.79324078771,2303.70981673362,2236.86901295846,2121.59645285678,2335.012012,2320.7054004,2246.0987062,2066.97805055
1300282200,2240.83008,2252.12988,2188.91992,2202.96997,2309.57197690316,2299.75923450877,2236.19774478107,2122.40613959452,2326.0645145,2319.6802002,2247.2274049,2068.81770145
1300368600,2238.8501,2247.92993,2223.12988,2225.23999,2301.54035910286,2296.8369111947,2235.98075953788,2123.42936198662,2317.429517,2319.1558008,2248.4377052,2070.5459522
1300455000,2249.17993,2249.38989,2217.94995,2221.07007,2293.87652204545,2293.8656625204,2235.68549835891,2124.40091132008,2308.604517,2318.1692042,2249.5129054,2072.173003
1300714200,2250.88989,2273.11011,2249.45996,2262.69995,2290.90732470778,2292.64347771568,2236.22043799537,2125.77702115769,2302.116016,2317.873003,2250.9494044,2074.32630255
1300800600,2264.07007,2267.13989,2253.08008,2257.95996,2287.7694804499,2291.28333976605,2236.65092357962,2127.0922742805,2298.8710085,2317.4982032,2252.2702052,2076.6253028
1300887000,2251.48999,2276.62012,2234.93994,2270.5,2286.1247680261,2290.46830683404,2237.32120232062,2128.51921682498,2297.3490115,2317.2206056,2253.6779054,2078.99930305
1300973400,2287.01001,2315.56006,2275.6499,2312.09009,2288.59765583314,2291.31621989938,2238.80177435387,2130.34579267746,2297.288013,2317.6878078,2255.5543068,2081.6651539
1301059800,2319.07007,2331.62988,2314.02002,2316.36011,2291.24169908713,2292.29833323665,2240.33758298053,2132.19668140704,2295.7915165,2317.9174124,2257.4337087,2084.096504
1301319000,2325.12988,2326.12012,2303.06006,2303.1001,2292.37107060264,2292.72193193326,2241.58040509972,2133.89721293533,2293.397022,2317.8688138,2258.94751,2086.376255
1301405400,2299.27002,2325.54004,2291.78003,2325.54004,2295.53002006905,2294.00891656332,2243.24297212745,2135.80410673697,2293.9110235,2317.911016,2260.6193093,2088.7765553
1301491800,2338.40991,2340.38989,2326.79004,2336.52002,2299.43382958629,2295.67601865888,2245.09004238235,2137.80128000327,2294.3985235,2318.0656156,2262.106509,2090.9717555
1301578200,2332.73999,2342.23999,2329.62012,2338.98999,2303.20108295902,2297.3746057703,2246.94944728567,2139.80315771468,2292.7600225,2318.779014,2263.6293093,2093.14015515
1301664600,2352.46997,2359.15991,2334.94995,2342.91992,2306.98382934388,2299.1606965244,2248.84985268596,2141.82422002597,2291.9080205,2319.9158108,2265.1691091,2095.30150525
1301923800,2347.70996,2350.34009,2324.02002,2334.54004,2309.60823035874,2300.54812175874,2250.54668807831,2143.74179037397,2292.231519,2321.2402102,2266.7457107,2097.40680555
1302010200,2330.12012,2342.34009,2323.40991,2327.87012,2311.34745794363,2301.61957267016,2252.07784514607,2145.57391305682,2291.7475225,2321.7898148,2268.147012,2099.5669557
